,x,y,temp,vapr,wind,prec,aspect,slope,elevation,ndmi,ndvi,ndwi
0,-122.93069444444444,46.705972222222215,10,2,4,5,0,0,0,0,0,0
1,-122.93069444444444,46.70569444444444,10,2,4,5,0,0,0,0,0,0
2,-122.93069444444444,46.70541666666666,10,2,4,5,0,0,0,0,0,0
3,-122.93069444444444,46.70513888888888,10,2,4,5,0,0,0,0,0,0
4,-122.93069444444444,46.70486111111111,10,2,4,5,0,0,0,0,0,0
5,-122.93069444444444,46.704583333333325,10,2,4,5,0,0,0,0,0,0
6,-122.93069444444444,46.70430555555555,10,2,4,5,0,0,0,0,0,0
7,-122.93069444444444,46.70402777777777,10,2,4,5,0,0,0,0,0,0
8,-122.93069444444444,46.70374999999999,10,2,4,5,0,0,0,0,0,0
9,-122.93069444444444,46.70347222222222,10,2,4,5,0,0,0,0,0,0
10,-122.93069444444444,46.703194444444435,10,2,4,5,0,0,0,0,0,0
11,-122.93069444444444,46.70291666666666,10,2,4,5,0,0,0,0,0,0
12,-122.93069444444444,46.702638888888885,10,2,4,5,0,0,0,0,0,0
13,-122.93069444444444,46.7023611111111,10,2,4,5,0,0,0,0,0,0
14,-122.93069444444444,46.70208333333333,10,2,4,5,0,0,0,0,0,0
15,-122.93069444444444,46.701805555555545,10,2,4,5,0,0,0,0,0,0
16,-122.93069444444444,46.70152777777777,10,2,4,5,0,0,0,0,0,0
17,-122.93069444444444,46.701249999999995,10,2,4,5,0,0,0,0,0,0
18,-122.93069444444444,46.70097222222221,10,2,4,5,0,0,0,0,0,0
19,-122.93069444444444,46.70069444444444,10,2,4,5,0,0,0,0,0,0
20,-122.93069444444444,46.70041666666666,10,2,4,5,0,0,0,0,0,0
21,-122.93069444444444,46.70013888888888,10,2,4,5,0,0,0,0,0,0
22,-122.93069444444444,46.699861111111105,10,2,4,5,0,0,0,0,0,0
23,-122.93069444444444,46.69958333333333,10,2,4,5,0,0,0,0,0,0
24,-122.93069444444444,46.69930555555555,10,2,4,5,0,0,0,0,0,0
25,-122.93069444444444,46.69902777777777,10,2,4,5,0,0,0,0,0,0
26,-122.93069444444444,46.69874999999999,10,2,4,5,0,0,0,0,0,0
27,-122.93069444444444,46.698472222222215,10,2,4,5,0,0,0,0,0,0
28,-122.93069444444444,46.69819444444444,10,2,4,5,0,0,0,0,0,0
29,-122.93069444444444,46.69791666666666,10,2,4,5,0,0,0,0,0,0
30,-122.93069444444444,46.69763888888888,10,2,4,5,0,0,0,0,0,0
31,-122.93069444444444,46.69736111111111,10,2,4,5,0,0,0,0,0,0
32,-122.93069444444444,46.697083333333325,10,2,4,5,0,0,0,0,0,0
33,-122.93069444444444,46.69680555555555,10,2,4,5,0,0,0,0,0,0
34,-122.93069444444444,46.69652777777777,10,2,4,5,0,0,0,0,0,0
35,-122.93069444444444,46.69624999999999,10,2,4,5,0,0,0,0,0,0
36,-122.93069444444444,46.69597222222222,10,2,4,5,0,0,0,0,0,0
37,-122.93069444444444,46.695694444444435,10,2,4,5,0,0,0,0,0,0
38,-122.93069444444444,46.69541666666666,10,2,4,5,0,0,0,0,0,0
39,-122.93069444444444,46.695138888888884,10,2,4,5,0,0,0,0,0,0
40,-122.93069444444444,46.6948611111111,10,2,4,5,0,0,0,0,0,0
